scenario_number,scenario_id
1,advanced-imaging
2,post-ct-aki
3,pe-workup
4,discharge-audit
5,renal-trajectory
6,sepsis-bundle
7,readmission-30d
8,empiric-abx
9,med-reconciliation
10,dka-resolution
11,hfref-gdmt
12,stroke-time-targets
13,he-precipitant
14,overdose-disposition
15,icu-delirium
16,goals-of-care
17,anticoag-reversal
18,pneumonia-curb65
19,hyperkalemia-management
20,postop-complications
21,transfusion-audit
22,eol-goal-concordance
23,sepsis-source-abx
24,frequent-admitter
25,ams-workup
